canal,mes,dia_semana,semana,venta
WS - FIT,11,5,45,28064.15
WS - Other,11,5,45,11437.92
Agencias,11,6,45,1536.0
WS - FIT,11,6,45,8499.899999999998
WS - Other,11,6,45,26463.22
WS - FIT,11,0,46,18032.46
WS - Other,11,0,46,4737.26
Agencias,11,1,46,10151.32
WS - FIT,11,1,46,18444.5
Agencias,11,2,46,136.0
WS - FIT,11,2,46,11985.079999999998
WS - Other,11,2,46,31287.4
WS - FIT,11,3,46,7694.28
Agencias,11,4,46,9928.29
Charter,11,4,46,269279.56
WS - FIT,11,4,46,31520.910000000003
WS - Other,11,4,46,70.84
Agencias,11,5,46,672.0
WS - FIT,11,5,46,16533.870000000003
WS - Other,11,5,46,13382.42
WS - FIT,11,6,46,22056.83
Agencias,11,0,47,27698.800000000003
WS - FIT,11,0,47,78.5
WS - Other,11,0,47,65665.35
Agencias,11,1,47,1552.0
WS - Other,11,1,47,18107.36
WS - FIT,11,2,47,21591.489999999998
Agencias,11,3,47,4642.86
WS - FIT,11,3,47,28772.93
WS - Other,11,3,47,9941.42
Agencias,11,4,47,48276.92
WS - FIT,11,4,47,55194.47
WS - Other,11,4,47,8051.85
Agencias,11,5,47,14203.32
WS - FIT,11,5,47,34109.270000000004
Agencias,11,6,47,8909.15
WS - FIT,11,6,47,52164.2
Agencias,11,0,48,23887.16
WS - FIT,11,0,48,22710.82
WS - Other,11,0,48,29789.639999999996
WS - FIT,11,1,48,15941.54
WS - FIT,11,2,48,16605.300000000003
Agencias,11,3,48,3812.0
WS - FIT,11,3,48,85434.65000000001
WS - Other,11,3,48,157064.77
WS - FIT,12,4,48,36519.70000000001
WS - FIT,12,5,48,19700.33000000001
WS - Other,12,5,48,7532.62
WS - FIT,12,6,48,3619.2000000000003
Agencias,12,0,49,3606.0
WS - FIT,12,0,49,30460.910000000003
WS - FIT,12,1,49,10804.530000000004
WS - Other,12,1,49,8882.619999999999
Agencias,12,2,49,286.0
WS - FIT,12,2,49,25616.13
WS - Other,12,2,49,5699.42
Agencias,12,3,49,32782.87
WS - FIT,12,3,49,17046.93
Charter,12,4,49,173795.61
WS - FIT,12,4,49,15921.39
WS - FIT,12,5,49,20194.28
Agencias,12,0,50,1984.9400000000003
WS - FIT,12,0,50,27441.72
WS - Other,12,0,50,16156.020000000002
Agencias,12,1,50,3917.8
WS - FIT,12,1,50,5120.5
WS - Other,12,1,50,21505.420000000002
Agencias,12,2,50,16239.999999999998
WS - FIT,12,2,50,16964.86
Agencias,12,3,50,6874.84
WS - FIT,12,3,50,3160.4
WS - Other,12,3,50,86250.86
Agencias,12,4,50,596.0
WS - FIT,12,4,50,16067.04
WS - Other,12,4,50,127876.23000000001
WS - FIT,12,5,50,561.0
WS - Other,12,5,50,10477.220000000001
Agencias,12,0,51,7252.780000000001
WS - FIT,12,0,51,47197.27
Agencias,12,1,51,5549.0
WS - FIT,12,1,51,159.0
WS - Other,12,2,51,58216.83999999999
Agencias,12,3,51,5392.8
WS - FIT,12,3,51,18753.510000000002
Agencias,12,4,51,18253.1
WS - FIT,12,4,51,3055.79
WS - Other,12,4,51,21903.25
Agencias,12,5,51,61241.35
WS - FIT,12,5,51,10553.179999999998
WS - Other,12,6,51,15611.62
WS - FIT,12,0,52,27569.760000000002
WS - Other,12,0,52,6397.42
Agencias,12,1,52,21820.08
WS - FIT,12,1,52,8206.89
WS - Other,12,1,52,7048.5
Agencias,12,2,52,43781.74
WS - FIT,12,2,52,164.0
WS - Other,12,2,52,23414.640000000003
Agencias,12,3,52,122280.57
WS - FIT,12,3,52,90892.31000000001
WS - Other,12,3,52,5299.62
Agencias,12,4,52,17292.64
WS - FIT,12,4,52,91182.93
Agencias,12,5,52,39111.94
WS - FIT,12,5,52,63672.520000000004
WS - Other,12,5,52,2008.0
WS - FIT,12,6,52,5269.5
